Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4071,2025-04-21,1,17,30,37,41,43,32,17,2,4,5,1,1,1,1,1,2,0.0,0.0,2.0,316308.0,127.0,2026.0,279.0,503.0,6692.0,50.0,8578.0,25.0,126457.0,10.0
4070,2025-04-17,15,17,26,31,40,46,19,,2,4,3,3,0,2,1,2,1,0.0,0.0,0.0,0.0,51.0,3485.0,238.0,408.0,4624.0,50.0,6795.0,25.0,88776.0,10.0
4069,2025-04-14,6,14,29,30,35,42,25,"14,30",2,4,2,4,1,1,2,1,1,1.0,3072730.0,2.0,189847.0,150.0,1741.0,323.0,441.0,7158.0,50.0,10648.0,25.0,133852.0,10.0
4068,2025-04-10,14,26,27,30,46,48,10,,1,5,1,5,0,1,3,0,2,0.0,0.0,3.0,89066.0,86.0,2137.0,247.0,406.0,4282.0,50.0,7537.0,25.0,82339.0,10.0
4067,2025-04-07,7,19,35,40,43,47,33,40,2,4,5,1,1,1,0,2,2,1.0,1327382.0,2.0,139725.0,107.0,1796.0,221.0,475.0,4907.0,50.0,6994.0,25.0,94527.0,10.0
4066,2025-04-03,12,14,15,16,21,40,23,12,5,1,2,4,0,4,1,1,0,1.0,5973897.0,10.0,61216.0,259.0,1625.0,710.0,324.0,13882.0,50.0,18402.0,25.0,243015.0,10.0
4065,2025-03-31,9,12,17,23,29,46,20,,4,2,4,2,1,2,2,0,1,0.0,0.0,6.0,63417.0,189.0,1385.0,499.0,286.0,10077.0,50.0,13349.0,25.0,173576.0,10.0
4064,2025-03-27,21,22,27,35,40,42,3,,2,4,3,3,0,0,3,2,1,0.0,0.0,1.0,265009.0,82.0,2222.0,233.0,427.0,4887.0,50.0,7075.0,25.0,90715.0,10.0
4063,2025-03-24,18,19,25,28,31,44,34,,2,4,3,3,0,2,2,1,1,1.0,1301717.0,1.0,274046.0,98.0,1923.0,294.0,350.0,6299.0,50.0,7264.0,25.0,113390.0,10.0
4062,2025-03-20,9,10,11,13,23,42,20,42,5,1,4,2,2,2,1,0,1,1.0,1216346.0,4.0,162575.0,182.0,968.0,531.0,181.0,8601.0,50.0,11994.0,25.0,131439.0,10.0
4061,2025-03-17,7,30,39,42,43,48,33,42,1,5,3,3,1,0,1,1,3,1.0,3172134.0,0.0,0.0,132.0,2054.0,398.0,372.0,6743.0,50.0,10212.0,25.0,129785.0,10.0
